1.349, 2.88, 0.97, 10.81, -0.19, -0.04, -0.47, -9.42, -2.79, 1.28, 0.60, 0.41, -0.13, -9.47, 1.15, 2.43, 0.48, -0.17, -0.40
1.383, 2.96, 0.77, 10.19, -0.10, -0.04, -0.40, -8.57, -2.84, 0.80, 0.53, 0.33, -0.12, -8.51, 0.49, 2.44, 0.41, -0.15, -0.32
1.417, 3.04, 0.51, 10.82, -0.03, 0.07, -0.43, -9.55, -2.94, 0.81, 0.56, 0.26, -0.02, -9.90, 0.79, 2.54, 0.44, -0.07, -0.25
1.451, 3.20, 0.50, 11.20, -0.08, -0.00, -0.39, -9.67, -3.16, 0.68, 0.53, 0.32, -0.09, -9.90, 0.60, 2.72, 0.41, -0.13, -0.32
1.485, 3.32, 1.14, 11.49, 0.01, -0.05, -0.35, -9.99, -3.23, 1.35, 0.48, 0.21, -0.13, -10.10, 1.18, 2.82, 0.35, -0.18, -0.21
1.519, 3.38, 0.56, 11.10, -0.03, -0.08, -0.29, -9.54, -3.28, 0.72, 0.43, 0.25, -0.17, -9.59, 0.47, 2.87, 0.30, -0.21, -0.25
1.553, 3.33, 0.20, 10.45, 0.11, -0.07, -0.31, -8.98, -3.25, 0.50, 0.45, 0.11, -0.15, -9.12, 0.42, 2.79, 0.32, -0.19, -0.10
1.587, 3.26, 0.69, 10.25, 0.15, -0.06, -0.28, -8.74, -3.15, 0.93, 0.41, 0.07, -0.15, -8.88, 0.70, 2.77, 0.27, -0.19, -0.08
1.621, 3.22, -0.07, 10.11, 0.16, -0.07, -0.24, -8.67, -3.17, 0.11, 0.38, 0.06, -0.15, -8.79, -0.14, 2.71, 0.26, -0.20, -0.06
1.655, 3.18, -0.32, 9.36, 0.27, -0.08, -0.29, -7.85, -3.11, -0.05, 0.44, -0.05, -0.16, -7.87, -0.22, 2.67, 0.31, -0.20, 0.06
1.689, 3.10, 0.41, 9.12, 0.34, -0.01, -0.33, -7.58, -3.03, 0.71, 0.46, -0.12, -0.09, -7.64, 0.58, 2.68, 0.33, -0.13, 0.12
1.723, 3.19, 1.04, 8.82, 0.32, 0.11, -0.25, -7.33, -3.02, 1.15, 0.38, -0.08, 0.04, -7.54, 0.85, 2.72, 0.24, 0.01, 0.08
1.757, 3.12, -0.18, 10.20, 0.28, 0.16, -0.22, -8.80, -3.10, -0.02, 0.36, -0.06, 0.07, -8.99, -0.28, 2.61, 0.23, 0.02, 0.08
1.791, 3.00, -0.36, 9.62, 0.42, 0.09, -0.31, -7.99, -2.96, -0.06, 0.45, -0.20, 0.01, -8.00, -0.21, 2.49, 0.31, -0.03, 0.20
